(index + 1),Azimuth[index],Elevation[index],SunXComponents[index],SunYComponents[index],SunZComponents[index],Third Euler Angle
198,33.19088235,44.54306058,123098942.5,57391636.28,56516575.74,102.4768691
199,32.32503244,43.14264534,124301519.8,57390933.8,53818746.09,101.2234467
200,31.48211071,41.66071204,125444980,57390231.1,51095326.57,99.97002428
201,30.66402793,40.09306586,126528778.9,57389528.2,48347612.4,98.71660189
202,29.87284402,38.43561134,127552400.8,57388825.07,45576910.39,97.46317951
203,29.11077067,36.68445986,128515358.7,57388121.74,42784538.3,96.20975712
204,28.38017066,34.83606186,129417194.1,57387418.18,39971824.16,94.95633473
205,27.68355272,32.88736536,130257477.9,57386714.42,37140105.72,93.70291235
206,27.02356088,30.83600089,131035810.1,57386010.44,34290729.76,92.44948996
207,26.40295688,28.68049058,131751820.3,57385306.24,31425051.47,91.19606757
208,25.82459455,26.42047631,132405167.6,57384601.83,28544433.78,89.94264519
209,25.29138499,24.05695756,132995541.1,57383897.21,25650246.77,88.6892228
210,24.80625199,21.59252534,133522659.5,57383192.37,22743866.94,87.43580041
211,24.37207747,19.03157396,133986272,57382487.32,19826676.62,86.18237803
212,23.99163784,16.38046828,134386157.7,57381782.06,16900063.28,84.92895564
213,23.66753293,13.6476421,134722126.1,57381076.58,13965418.89,83.67553325
214,23.40211068,10.84360388,134994017.3,57380370.88,11024139.21,82.42211087
215,23.19739141,7.980830567,135201701.5,57379664.97,8077623.212,81.16868848
216,23.05499685,5.073538913,135345079.7,57378958.85,5127272.327,79.91526609
217,22.97608908,2.137336207,135424083.4,57378252.51,2174489.833,78.66184371
218,22.96132457,359.1887666,135438674.8,57377545.96,-779319.8329,77.40842132
219,23.01082739,356.244783,135388846.6,57376839.2,-3732751.74,76.15499893
220,23.12418405,353.3221863,135274622.3,57376132.22,-6684401.128,74.90157655
221,23.30046058,350.437076,135096055.9,57375425.02,-9632864.082,73.64815416
222,23.53824005,347.6043585,134853232,57374717.61,-12576738.19,72.39473177
223,23.8356773,344.8373463,134546265.9,57374009.99,-15514623.23,71.14130939
224,24.19056604,342.1474734,134175303.3,57373302.15,-18445121.8,69.887887
225,24.60041298,339.544133,133740520.3,57372594.1,-21366840.04,68.63446461
226,25.06251393,337.034634,133242123.5,57371885.84,-24278388.21,67.38104223
227,25.57402728,334.6242593,132680349.6,57371177.36,-27178381.45,66.12761984
228,26.13204133,332.3164049,132055465.6,57370468.66,-30065440.36,64.87419745
229,26.73363315,330.1127737,131367768.3,57369759.75,-32938191.7,63.62077507
230,27.37591785,328.013602,130617584.6,57369050.63,-35795269.02,62.36735268
231,28.05608777,326.0178974,129805271.1,57368341.3,-38635313.32,61.11393029
232,28.77144225,324.1236732,128931213.8,57367631.74,-41456973.71,59.86050791
233,29.51940875,322.3281665,127995828.2,57366921.98,-44258908.01,58.60708552
234,30.29755658,320.6280352,126999558.9,57366212,-47039783.45,57.35366313
235,31.10360434,319.0195285,125942879.5,57365501.81,-49798277.24,56.10024075
236,31.93542257,317.4986313,124826292.3,57364791.4,-52533077.25,54.84681836
237,32.79103254,316.0611824,123650328.2,57364080.78,-55242882.61,53.59339597
238,33.66860214,314.7029702,122415546.3,57363369.94,-57926404.32,52.33997359
239,34.56643995,313.4198066,121122533.5,57362658.89,-60582365.88,51.0865512
240,35.48298788,312.207584,119771904.5,57361947.63,-63209503.91,49.83312881
241,36.41681307,311.0623167,118364301.7,57361236.15,-65806568.72,48.57970643
242,37.36659945,309.9801705,116900394.2,57360524.45,-68372324.91,47.32628404
243,38.33113919,308.9574822,115380878,57359812.55,-70905551.99,46.07286165
244,39.30932434,307.9907717,113806475.7,57359100.43,-73405044.91,44.81943927
245,40.30013875,307.0767471,112177935.8,57358388.09,-75869614.67,43.56601688
246,41.30265043,306.2123066,110496032.7,57357675.54,-78298088.88,42.31259449
247,42.31600435,305.3945354,108761566.1,57356962.78,-80689312.32,41.05917211
248,43.3394157,304.6207019,106975360.8,57356249.8,-83042147.46,39.80574972
249,44.37216377,303.8882501,105138266.1,57355536.61,-85355475.04,38.55232733
250,45.41358612,303.1947928,103251155.6,57354823.2,-87628194.59,37.29890495
251,46.46307347,302.5381027,101314926.6,57354109.58,-89859224.93,36.04548256
252,47.52006482,301.9161039,99330499.81,57353395.74,-92047504.72,34.79206017
253,48.58404317,301.3268631,97298818.97,57352681.69,-94191992.94,33.53863779
254,49.65453148,300.7685803,95220850.16,57351967.43,-96291669.41,32.2852154
255,50.73108913,300.2395812,93097581.52,57351252.95,-98345535.25,31.03179301
256,51.81330862,299.7383082,90930022.77,57350538.26,-100352613.3,29.77837063
257,52.90081261,299.2633128,88719204.67,57349823.36,-102311948.9,28.52494824
258,53.99325123,298.8132482,86466178.57,57349108.24,-104222609.7,27.27152585
259,55.09029966,298.3868624,84172015.9,57348392.9,-106083686.7,26.01810347
260,56.19165588,297.9829914,81837807.66,57347677.35,-107894294.7,24.76468108
261,57.2970387,297.6005534,79464663.92,57346961.59,-109653572,23.51125869
262,58.40618596,297.2385425,77053713.24,57346245.61,-111360681.9,22.25783631
263,59.5188528,296.8960244,74606102.2,57345529.42,-113014811.9,21.00441392
264,60.63481025,296.5721304,72122994.79,57344813.02,-114615175.2,19.75099153
265,61.7538438,296.2660539,69605571.93,57344096.4,-116161010.3,18.49756914
266,62.87575218,295.9770453,67055030.82,57343379.57,-117651581.8,17.24414676
267,64.00034623,295.704409,64472584.45,57342662.52,-119086180.3,15.99072437
268,65.12744785,295.4474991,61859460.98,57341945.26,-120464123.3,14.73730198
269,66.25688909,295.2057169,59216903.17,57341227.78,-121784755.1,13.4838796
270,67.38851124,294.978507,56546167.79,57340510.09,-123047447.4,12.23045721
271,68.52216404,294.7653557,53848525,57339792.19,-124251599.3,10.97703482
272,69.657705,294.5657874,51125257.78,57339074.07,-125396637.9,9.723612438
273,70.79499866,294.379363,48377661.3,57338355.74,-126482018.1,8.470190051
274,71.93391603,294.2056776,45607042.3,57337637.19,-127507223.5,7.216767664
275,73.07433399,294.0443584,42814718.49,57336918.43,-128471766.2,5.963345277
276,74.21613475,293.8950634,40002017.91,57336199.45,-129375187.2,4.709922891
277,75.35920539,293.7574793,37170278.27,57335480.27,-130217056.5,3.456500504
278,76.50343737,293.6313206,34320846.38,57334760.86,-130996973.3,2.203078117
279,77.64872614,293.5163276,31455077.44,57334041.25,-131714566.5,0.949655731
280,78.79497068,293.4122661,28574334.45,57333321.41,-132369494.5,359.6962333
281,79.9420732,293.3189256,25679987.53,57332601.37,-132961445.4,358.442811
282,81.0899387,293.2361189,22773413.26,57331881.11,-133490137.5,357.1893886
283,82.2384747,293.1636809,19855994.07,57331160.64,-133955318.9,355.9359662
284,83.3875909,293.1014682,16929117.54,57330439.95,-134356768.2,354.6825438
285,84.53719884,293.0493583,13994175.75,57329719.05,-134694294,353.4291214
286,85.68721165,293.0072488,11052564.63,57328997.93,-134967735.7,352.175699
287,86.83754373,292.9750577,8105683.294,57328276.6,-135176962.7,350.9222766
288,87.9881105,292.9527223,5154933.353,57327555.06,-135321875.4,349.6688543
289,89.1388281,292.9401994,2201718.278,57326833.3,-135402404.5,348.4154319
290,90.28961317,292.9374649,-752557.2883,57326111.33,-135418511.4,347.1620095
291,91.4403825,292.9445138,-3706488.188,57325389.14,-135370188.2,345.9085871
